DATE,TESTER,PRODUCT,LOT NUMBER,TEST STEP,DATE LOT STARTED,LAST UPDATE,TOTAL IN,HANDLER,STATUS,LOADING COUNTS,TOTAL,AUTO1,AUTO2,AUTO3,LAST UPDATE (2),ENDLOT,ENDLOT_TESTER_RAW
2026-01-29 15:32:57,S100_2,ES9842QPRO,TGWBS02G30,25CC_FT,2026-01-29 08:50:49,2026-01-29 15:29:12,56860,NS-4,running,28142,28130,9897,70,6440,2026-01-29 15:24:22,0,
2026-01-29 15:56:47,S100_2,ES9842QPRO,TGWBS02G30,25CC_FT1,2026-01-21 17:40:03,2026-01-29 15:33:41,56860,NS-4,stopped,28142,28130,9897,70,6440,2026-01-29 15:50:15,0,
2026-01-29 19:41:43,S100_1,ES9291Q,TGWDS13A84,B34_70C_FT1-RT2,2026-01-29 18:07:31,2026-01-29 18:07:31,9850,NS-3,stopped,4076,4016,576,0,3421,2026-01-29 19:37:24,0,
2026-01-29 19:48:33,HP-1,ESCR03W,TGWAS08T65,FT,2025-10-02 10:47:30,2025-10-16 17:17:34,76775,NS-3,stopped,4076,4016,576,0,3421,2026-01-29 19:42:33,0,
2026-01-30 09:36:44,S100_1,ES9291Q,TGWDS13A84,B1_25C_FT2,2026-01-29 19:47:13,2026-01-30 09:10:16,9850,NS-3,running,340,318,216,0,102,2026-01-30 09:09:02,0,
2026-01-30 09:36:44,AP-2,ES9842,TGWBS02G30,25C_BIN1_65C_FT-1,2026-01-29 13:35:00,2026-01-30 09:07:31,56860,NS-5,error,5952,5885,2498,1616,1385,2026-01-30 09:07:11,0,
2026-01-30 09:47:36,AP-2,ES9821,TGWDSXX959,25C_BIN1_25C_FT-1,2026-01-12 11:22:00,2026-01-30 09:43:58,131938,CHROMA,running,3872,3868,3772,15,81,2026-01-30 09:43:59,0,
2026-01-30 09:51:04,AP-2,ES9842,TGWBS02G30,25C_BIN1_65C_FT-1,2026-01-29 13:35:00,2026-01-30 09:47:30,56860,NS-5,error,5952,5885,2498,1616,1385,2026-01-30 09:43:26,0,
2026-01-30 09:51:14,AP-2,ES9821,TGWDSXX959,25C_BIN1_25C_FT-1,2026-01-12 11:22:00,2026-01-30 09:51:00,131938,CHROMA,running,3913,3909,3813,15,81,2026-01-30 09:50:38,0,
2026-01-30 12:18:17,AP-1,ES9821,TGWDSXX959,25C_BIN1_25C_FT-1,2026-01-30 09:12:00,2026-01-30 12:14:42,131938,CHROMA,running,4787,4782,4656,19,187,2026-01-30 12:14:26,0,
2026-01-30 13:29:46,S100_1,ES9291Q,TGWDS13A84,25C,2026-01-30 09:20:47,2026-01-30 13:26:12,60418,NS-3,running,2308,2287,1925,0,361,2026-01-30 12:57:58,0,
2026-01-30 13:33:10,AP-1,ES9821,TGWDSXX959,25C_BIN1_25C_FT-1,2026-01-30 09:12:00,2026-01-30 13:29:37,131938,CHROMA,error,4931,4928,4797,19,112,2026-01-30 13:02:29,0,
2026-01-30 13:33:10,S100_2,ES9842QPRO,TGWBS02G30,FT1,2026-01-22 09:39:31,2026-01-30 13:29:42,56860,NS-4,running,34488,34475,12583,46,7492,2026-01-30 13:02:03,0,
2026-01-30 13:33:10,AP-2,ES9842,TGWBS02G30,25C_BIN1_65C_FT-1,2026-01-29 13:35:00,2026-01-30 13:29:29,56860,NS-5,running,1240,1174,651,98,410,2026-01-30 13:00:30,0,
2026-01-30 15:15:50,AP-1,ES9821,TGWDSXX959,25C_BIN1_25C_FT-1,2026-01-30 09:12:00,2026-01-30 15:12:14,131938,CHROMA,running,5657,5653,5585,27,121,2026-01-30 15:12:01,0,
2026-01-30 18:59:27,AP-1,ES9821,TGWDSXX959,25C_BIN1_25C_FT-1,2026-01-30 09:12:00,2026-01-30 18:55:56,131938,CHROMA,running,7020,7015,6825,33,157,2026-01-30 18:55:47,0,
2026-01-30 21:55:13,AP-1,ES9821,TGWDSXX959,25C_BIN1_25C_FT-1,2026-01-30 09:12:00,2026-01-30 21:51:36,131938,CHROMA,running,8090,8085,7868,39,186,2026-01-30 21:51:31,0,
2026-01-31 00:40:46,AP-1,ES9821,TGWDSXX959,25C_BIN1_25C_FT-1,2026-01-30 09:12:00,2026-01-30 22:15:10,131938,CHROMA,error,8129,8124,7896,0,188,2026-01-31 00:37:07,0,
